,Name,Album,Artist
0,Stitches,Handwritten,Shawn Mendes
1,Mehrama,Love Aaj Kal (Original Motion Picture Soundtrack),Pritam
2,Kho Gaye,Mismatched: Season 2 (Soundtrack from the Netflix Series),Mismatched - Cast
3,"Humdard (From ""Ek Villain"")",Ultimate Love Songs - Arijit Singh,Arijit Singh
4,Guzarish,Ghajini,A.R. Rahman
5,Hasi - Female Version,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Jeet Gannguli
6,Kaun Tujhe,M.S.Dhoni - The Untold Story,Amaal Mallik
7,Jeena Jeena,Badlapur (Original Motion Picture Soundtrack),Sachin-Jigar
8,Tune Jo Na Kaha,New York,Pritam
9,Reckless,Reckless,Madison Beer
